county_id,ideb_score,ideb_publication_year,ideb_score_status
1100015,3.8,2007,Projetado
1100015,4.1,2009,Projetado
1100015,4.5,2011,Projetado
1100015,4.8,2013,Projetado
1100015,5.1,2015,Projetado
1100015,5.4,2017,Projetado
1100015,5.7,2019,Projetado
1100015,5.9,2021,Projetado
1100015,3.7,2005,Observado
1100015,4,2007,Observado
1100015,4.5,2009,Observado
1100015,4.3,2011,Observado
1100015,5.4,2013,Observado
1100015,5.8,2015,Observado
1100015,6.2,2017,Observado
1100015,5.7,2019,Observado
1100023,3.8,2007,Projetado
1100023,4.1,2009,Projetado
1100023,4.5,2011,Projetado
1100023,4.8,2013,Projetado
1100023,5.1,2015,Projetado
1100023,5.4,2017,Projetado
1100023,5.7,2019,Projetado
1100023,5.9,2021,Projetado
1100023,3.7,2005,Observado
1100023,3.9,2007,Observado
1100023,4.4,2009,Observado
1100023,4.6,2011,Observado
1100023,4.9,2013,Observado
1100023,5.2,2015,Observado
1100023,5.5,2017,Observado
1100023,5.2,2019,Observado
1100031,3.7,2007,Projetado
1100031,4.1,2009,Projetado
1100031,4.5,2011,Projetado
1100031,4.8,2013,Projetado
1100031,5.1,2015,Projetado
1100031,5.3,2017,Projetado
1100031,5.6,2019,Projetado
1100031,5.9,2021,Projetado
1100031,3.7,2005,Observado
1100031,3.8,2007,Observado
1100031,4.6,2009,Observado
1100031,5.2,2011,Observado
1100031,5.6,2013,Observado
1100031,5.5,2015,Observado
1100031,6.1,2017,Observado
1100031,5.1,2019,Observado
1100049,4,2007,Projetado
1100049,4.4,2009,Projetado
1100049,4.8,2011,Projetado
1100049,5.1,2013,Projetado
1100049,5.3,2015,Projetado
1100049,5.6,2017,Projetado
1100049,5.9,2019,Projetado
1100049,6.1,2021,Projetado
1100049,4,2005,Observado
1100049,4,2007,Observado
1100049,4.4,2009,Observado
1100049,5.2,2011,Observado
1100049,5.8,2013,Observado
1100049,5.9,2015,Observado
1100049,6.3,2017,Observado
1100049,5.8,2019,Observado
1100056,4.1,2007,Projetado
1100056,4.4,2009,Projetado
1100056,4.8,2011,Projetado
1100056,5.1,2013,Projetado
1100056,5.4,2015,Projetado
1100056,5.7,2017,Projetado
1100056,5.9,2019,Projetado
1100056,6.2,2021,Projetado
1100056,4,2005,Observado
1100056,4.5,2007,Observado
1100056,4.9,2009,Observado
1100056,5.4,2011,Observado
1100056,6.2,2013,Observado
1100056,5.9,2015,Observado
1100056,6.4,2017,Observado
1100056,6.4,2019,Observado
1100064,4.2,2007,Projetado
1100064,4.5,2009,Projetado
1100064,4.9,2011,Projetado
1100064,5.2,2013,Projetado
1100064,5.5,2015,Projetado
1100064,5.7,2017,Projetado
1100064,6,2019,Projetado
1100064,6.3,2021,Projetado
1100064,4.1,2005,Observado
1100064,4.4,2007,Observado
1100064,5.2,2009,Observado
1100064,5.4,2011,Observado
1100064,6.2,2013,Observado
1100064,6.3,2015,Observado
1100064,6.4,2017,Observado
1100064,6.3,2019,Observado
1100072,3.6,2007,Projetado
1100072,3.9,2009,Projetado
1100072,4.3,2011,Projetado
1100072,4.6,2013,Projetado
1100072,4.9,2015,Projetado
1100072,5.2,2017,Projetado
1100072,5.5,2019,Projetado
1100072,5.7,2021,Projetado
1100072,3.5,2005,Observado
1100072,4,2007,Observado
1100072,4,2009,Observado
1100072,4.4,2011,Observado
1100072,5.4,2013,Observado
1100072,5.2,2015,Observado
1100072,5.7,2017,Observado
1100072,6,2019,Observado
1100080,3.1,2007,Projetado
1100080,3.5,2009,Projetado
1100080,3.9,2011,Projetado
1100080,4.2,2013,Projetado
1100080,4.5,2015,Projetado
1100080,4.8,2017,Projetado
1100080,5.1,2019,Projetado
1100080,5.4,2021,Projetado
1100080,3.1,2005,Observado
1100080,3.2,2007,Observado
1100080,4.1,2009,Observado
1100080,4.2,2011,Observado
1100080,5.4,2013,Observado
1100080,4.9,2015,Observado
1100080,4.8,2017,Observado
1100080,4.9,2019,Observado
1100098,4,2007,Projetado
1100098,4.4,2009,Projetado
1100098,4.8,2011,Projetado
1100098,5,2013,Projetado
1100098,5.3,2015,Projetado
1100098,5.6,2017,Projetado
1100098,5.9,2019,Projetado
1100098,6.1,2021,Projetado
1100098,3.9,2005,Observado
1100098,4.1,2007,Observado
1100098,4.8,2009,Observado
1100098,5,2011,Observado
1100098,5.8,2013,Observado
1100098,6,2015,Observado
1100098,6.1,2017,Observado
1100098,5.9,2019,Observado
1100106,3.3,2007,Projetado
1100106,3.7,2009,Projetado
1100106,4.1,2011,Projetado
1100106,4.4,2013,Projetado
1100106,4.6,2015,Projetado
1100106,4.9,2017,Projetado
1100106,5.2,2019,Projetado
1100106,5.5,2021,Projetado
1100106,3.3,2005,Observado
1100106,3.8,2007,Observado
1100106,4.3,2009,Observado
1100106,4.5,2011,Observado
1100106,4.7,2013,Observado
1100106,4.9,2015,Observado
1100106,4.9,2017,Observado
1100106,5,2019,Observado
1100114,3.4,2007,Projetado
1100114,3.7,2009,Projetado
1100114,4.1,2011,Projetado
1100114,4.4,2013,Projetado
1100114,4.7,2015,Projetado
1100114,5,2017,Projetado
1100114,5.3,2019,Projetado
1100114,5.6,2021,Projetado
1100114,3.3,2005,Observado
1100114,4,2007,Observado
1100114,4.3,2009,Observado
1100114,4.6,2011,Observado
1100114,5.1,2013,Observado
1100114,5.6,2015,Observado
1100114,6.1,2017,Observado
1100114,5.7,2019,Observado
1100122,3.9,2007,Projetado
1100122,4.2,2009,Projetado
1100122,4.6,2011,Projetado
1100122,4.9,2013,Projetado
1100122,5.2,2015,Projetado
1100122,5.5,2017,Projetado
1100122,5.8,2019,Projetado
1100122,6,2021,Projetado
1100122,3.8,2005,Observado
1100122,4,2007,Observado
1100122,4.5,2009,Observado
1100122,4.9,2011,Observado
1100122,5.7,2013,Observado
1100122,6,2015,Observado
1100122,6.2,2017,Observado
1100122,5.8,2019,Observado
1100130,3,2007,Projetado
1100130,3.3,2009,Projetado
1100130,3.7,2011,Projetado
1100130,4,2013,Projetado
1100130,4.3,2015,Projetado
1100130,4.6,2017,Projetado
1100130,4.9,2019,Projetado
1100130,5.2,2021,Projetado
1100130,2.9,2005,Observado
1100130,3.7,2007,Observado
1100130,4.3,2009,Observado
1100130,4.5,2011,Observado
1100130,5,2013,Observado
1100130,5.2,2015,Observado
1100130,5.2,2017,Observado
1100130,5,2019,Observado
1100148,3.7,2007,Projetado
1100148,4,2009,Projetado
1100148,4.5,2011,Projetado
1100148,4.7,2013,Projetado
1100148,5,2015,Projetado
1100148,5.3,2017,Projetado
1100148,5.6,2019,Projetado
1100148,5.9,2021,Projetado
1100148,3.6,2005,Observado
1100148,4,2007,Observado
1100148,4.6,2009,Observado
1100148,5.5,2011,Observado
1100148,6.6,2013,Observado
1100148,6.6,2015,Observado
1100148,7.2,2017,Observado
1100148,6.9,2019,Observado
1100155,3.5,2007,Projetado
1100155,3.9,2009,Projetado
1100155,4.3,2011,Projetado
1100155,4.6,2013,Projetado
1100155,4.9,2015,Projetado
1100155,5.1,2017,Projetado
1100155,5.4,2019,Projetado
1100155,5.7,2021,Projetado
1100155,3.5,2005,Observado
1100155,3.9,2007,Observado
1100155,4.2,2009,Observado
1100155,4.6,2011,Observado
1100155,5.5,2013,Observado
1100155,5.7,2015,Observado
1100155,5.8,2017,Observado
1100155,5.5,2019,Observado
1100189,4,2007,Projetado
1100189,4.4,2009,Projetado
1100189,4.8,2011,Projetado
1100189,5,2013,Projetado
1100189,5.3,2015,Projetado
1100189,5.6,2017,Projetado
1100189,5.9,2019,Projetado
1100189,6.1,2021,Projetado
1100189,4,2005,Observado
1100189,4.2,2007,Observado
1100189,4.9,2009,Observado
1100189,5.6,2011,Observado
1100189,5.9,2013,Observado
1100189,5.9,2015,Observado
1100189,6.2,2017,Observado
1100189,5.8,2019,Observado
1100205,3.7,2007,Projetado
1100205,4,2009,Projetado
1100205,4.4,2011,Projetado
1100205,4.7,2013,Projetado
1100205,5,2015,Projetado
1100205,5.3,2017,Projetado
1100205,5.6,2019,Projetado
1100205,5.8,2021,Projetado
1100205,3.6,2005,Observado
1100205,3.9,2007,Observado
1100205,4.2,2009,Observado
1100205,4.3,2011,Observado
1100205,4.6,2013,Observado
1100205,4.9,2015,Observado
1100205,5.3,2017,Observado
1100205,5.4,2019,Observado
1100254,3.8,2007,Projetado
1100254,4.1,2009,Projetado
1100254,4.5,2011,Projetado
1100254,4.8,2013,Projetado
1100254,5.1,2015,Projetado
1100254,5.4,2017,Projetado
1100254,5.7,2019,Projetado
1100254,5.9,2021,Projetado
1100254,3.7,2005,Observado
1100254,4.3,2007,Observado
1100254,4.6,2009,Observado
1100254,5.1,2011,Observado
1100254,5.9,2013,Observado
1100254,6,2015,Observado
1100254,6.3,2017,Observado
1100254,5.8,2019,Observado
1100262,3.3,2007,Projetado
1100262,3.6,2009,Projetado
1100262,4,2011,Projetado
1100262,4.3,2013,Projetado
1100262,4.6,2015,Projetado
1100262,4.9,2017,Projetado
1100262,5.2,2019,Projetado
1100262,5.5,2021,Projetado
1100262,3.2,2005,Observado
1100262,3,2007,Observado
1100262,3.9,2009,Observado
1100262,3.4,2011,Observado
